Genome Name,RR:HPKratio,HPK,RR,unit_norm_hkct,unit_norm_genect,Genome Size   * assembled,Gene Count   * assembled,hpkper100gene,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Phylum2
Trichodesmium thiebautii H9-4,1,19,19,0.00644506,1.143150069,3286556,3370,0.56379822,10,2627854162,Bacteria,Permanent Draft,Trichodesmium thiebautii H9-4 isolate:H9-4 Genome sequencing,University of Southern California,2627854162,Cyanobacteria,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium thiebautii,,,,,,,Cyanobacteria
Trichodesmium erythraeum IMS101,1,44,44,0.014925401,1.748985685,7750108,5156,0.853374709,8,637000329,Bacteria,Finished,Trichodesmium erythraeum IMS101,DOE Joint Genome Institute (JGI),637000329,Cyanobacteria,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum,Environmental,Aquatic,Neritic zone,Marine,,Marine,Cyanobacteria
"Thermosediminibacter oceani JW/IW-1228P, DSM 16646",0.842105263,19,16,0.00644506,0.796473698,2280035,2348,0.809199319,14,648028061,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),648028061,Firmicutes,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,Thermosediminibacter oceani,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",not
"Thermodesulfatator indicus CIR29812, DSM 15286",1.125,32,36,0.010854837,0.777138519,2322224,2291,1.396769969,22,2505119042,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),2505119042,Thermodesulfobacteria,Other,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator indicus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",not
Thermodesulfatator atlanticus DSM 21156,1.166666667,30,35,0.01017641,0.779173801,2302285,2297,1.306051371,10,2523533580,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533580,Thermodesulfobacteria,Other,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator atlanticus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",not
"Thermaerobacter marianensis 7p75a, DSM 12885",1,21,21,0.007123487,0.825985287,2844696,2435,0.862422998,5,649633101,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),649633101,Firmicutes,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,Thermaerobacter marianensis,Environmental,Aquatic,Oceanic,Marine,,"Deep sea, Marine, Mud",not
Thalassospira lucentensis DSM 14000,1.222222222,45,55,0.015264615,1.505430269,4748691,4438,1.013970257,,2526164517,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2526164517,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,Thalassospira lucentensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",Cyanobacteria
Thalassobaculum salexigens DSM 19539,0.952380952,63,60,0.021370461,1.62008449,5084548,4776,1.319095477,,2523231049,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523231049,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassobaculum,Thalassobaculum salexigens,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",Cyanobacteria
Synechococcus sp. WH8102,0.9,10,9,0.003392137,0.877884979,2434428,2588,0.386398764,2,637000314,Bacteria,Finished,Synechococcus sp. WH8102,DOE Joint Genome Institute (JGI),637000314,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine",Cyanobacteria
Synechococcus sp. WH7805,0.866666667,15,13,0.005088205,0.99627055,2620367,2937,0.51072523,,638341215,Bacteria,Permanent Draft,Synechococcus sp. WH7805,J. Craig Venter Institute (JCVI),638341215,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7805,Environmental,Aquatic,Pelagic,Marine,,Marine,Cyanobacteria
Synechococcus sp. WH5701,0.928571429,14,13,0.004748991,1.15434412,3043834,3403,0.411401704,,638341214,Bacteria,Permanent Draft,Synechococcus sp. WH5701,J. Craig Venter Institute (JCVI),638341214,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 5701,Environmental,Aquatic,Pelagic,Marine,,Marine,Cyanobacteria
Synechococcus sp. WH 8109,0.777777778,9,7,0.003052923,0.914520055,2111515,2696,0.333827893,,2563366603,Bacteria,Finished,Synechococcus sp. WH 8109,J. Craig Venter Institute (JCVI),2563366603,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8109,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine",Cyanobacteria
Synechococcus sp. WH 8016,1,14,14,0.004748991,1.03324484,2706690,3046,0.459619173,,2507262052,Bacteria,Permanent Draft,Synechococcus genomes and the evolution of genome size,DOE Joint Genome Institute (JGI),2507262052,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8016,Environmental,Aquatic,Intertidal zone,Marine,,Marine,Cyanobacteria
Synechococcus sp. RS9916,0.857142857,14,12,0.004748991,1.021033148,2664465,3010,0.465116279,29,639857007,Bacteria,Permanent Draft,Synechococcus sp. RS9916,J. Craig Venter Institute (JCVI),639857007,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RS9916,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Red Sea",Cyanobacteria
Synechococcus sp. CC9902,0.7,10,7,0.003392137,0.817504946,2234828,2410,0.414937759,10,637000311,Bacteria,Finished,Synechococcus,DOE Joint Genome Institute (JGI),637000311,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,Marine,Cyanobacteria
Synechococcus sp. CC9616,0.923076923,13,12,0.004409778,1.003394037,2645910,2958,0.439486139,8,2517093019,Bacteria,Permanent Draft,Synechococcus genomes and the evolution of genome size,DOE Joint Genome Institute (JGI),2517093019,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9616,Environmental,Aquatic,Pelagic,Marine,,,Cyanobacteria
Synechococcus sp. CC9605,0.9,10,9,0.003392137,0.93622973,2510659,2760,0.362318841,9,637000310,Bacteria,Finished,Synechococcus,DOE Joint Genome Institute (JGI),637000310,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,Marine,Cyanobacteria
Synechococcus sp. CC9311,1,16,16,0.005427419,1.001019541,2606748,2951,0.542189088,,637000309,Bacteria,Finished,Prochlorococcus sp. CC9311,J. Craig Venter Institute (JCVI),637000309,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9311,Environmental,Aquatic,Pelagic,Marine,,Marine,Cyanobacteria
Synechococcus sp. CB0205,0.833333333,12,10,0.004070564,0.938265012,2427308,2766,0.433839479,,649990023,Bacteria,Permanent Draft,Synechococcus sp. CB0205,J. Craig Venter Institute (JCVI),649990023,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0205,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine",Cyanobacteria
Synechococcus sp. CB0101,1.25,16,20,0.005427419,1.034262481,2686395,3049,0.524762217,3,649990022,Bacteria,Permanent Draft,Synechococcus sp. CB0101,J. Craig Venter Institute (JCVI),649990022,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine",not
Synechococcus sp. BL107,1,8,8,0.002713709,0.866690928,2283377,2555,0.313111546,6,639857006,Bacteria,Permanent Draft,Synechococcus sp. BL107,J. Craig Venter Institute (JCVI),639857006,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. BL107,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine",not
Sulfurospirillum sp. Am-N (draft),0,48,,0.016282256,0.877206552,2264828,2586,1.856148492,3,2502171155,Bacteria,Permanent Draft,Sulfurospirillum sp. Am-N,J. Craig Venter Institute (JCVI),2502171155,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum sp. Am-N,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Host, Hot spring, Hydrothermal vent, Marine",not
Sulfurospirillum arcachonense DSM 9755,1.016949153,59,60,0.020013607,0.920965115,2656384,2715,2.173112339,72,2524614541,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614541,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum arcachonense,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",not
"Sulfurimonas autotrophica OK10, DSM 16294",1.379310345,29,40,0.009837196,0.753054348,2153198,2220,1.306306306,18,648028058,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),648028058,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas autotrophica,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",not
Sulfitobacter sp. NAS-14.1,0.974358974,39,38,0.013229333,1.365674237,4002069,4026,0.968703428,,638341212,Bacteria,Permanent Draft,Sulfitobacter sp. NAS-14.1,J. Craig Venter Institute (JCVI),638341212,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. NAS-14.1,Environmental,Aquatic,Unclassified,Marine,,"Marine, Surface water",not
Sulfitobacter sp. EE-36,0.921052632,38,35,0.012890119,1.201494821,3547243,3542,1.072840203,,638341211,Bacteria,Permanent Draft,Sulfitobacter sp. EE-36,J. Craig Venter Institute (JCVI),638341211,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. EE-36,Environmental,Aquatic,Unclassified,Marine,,"Marine, Surface water",not
Stenotrophomonas sp. SKA14,1.307692308,65,85,0.022048889,1.541047705,5020454,4543,1.430772617,52,647533230,Bacteria,Permanent Draft,Stenotrophomonas sp. SKA14,J. Craig Venter Institute (JCVI),647533230,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. SKA14,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Sporosarcina ureae DSM 2281,0.967741935,31,30,0.010515624,1.145185351,3320651,3376,0.918246445,15,2523533529,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533529,Firmicutes,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina ureae,Environmental,Aquatic,,Marine,,"Lab enrichment, Sea water",not
Spongiibacter marinus DSM 19753,1.093023256,43,47,0.014586188,1.109228702,3435542,3270,1.314984709,17,2523533546,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533546,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter marinus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Sphingopyxis baekryungensis DSM 16222,1.28,25,32,0.008480342,1.005429319,3068208,2964,0.843454791,,2524614570,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614570,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis baekryungensis,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",not
Sphingopyxis alaskensis RB2256,1.181818182,22,26,0.007462701,1.107532634,3373713,3265,0.67381317,,637000271,Bacteria,Finished,Sphingopyxis alaskensis,DOE Joint Genome Institute (JGI),637000271,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,Environmental,Aquatic,Unclassified,Marine,,Marine,not
Sphingomonas sp. SKA58,1.314285714,35,46,0.011872478,1.351766477,3948000,3985,0.878293601,,638341199,Bacteria,Permanent Draft,Sphingomonas sp. SKA58,J. Craig Venter Institute (JCVI),638341199,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. SKA58,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Simiduia agarivorans DSM 21679,1.333333333,57,76,0.019335179,1.308007913,4274427,3856,1.478215768,1,2522572190,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2522572190,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,Simiduia agarivorans,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sea water",not
Silicibacter sp. TrichCH4B,1.166666667,42,49,0.014246974,1.632974609,4689084,4814,0.872455339,,647533209,Bacteria,Permanent Draft,Ruegeria sp. TrichCH4B,J. Craig Venter Institute (JCVI),647533209,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Silicibacter sp. TrichCH4B,Host-associated,Unclassified,Unclassified,Unclassified,,"Aquatic, Marine",not
Shewanella benthica KT99,1.277777778,36,46,0.012211692,1.517981175,4351589,4475,0.804469274,27,2501651207,Bacteria,Permanent Draft,Shewanella benthica KT99,J. Craig Venter Institute (JCVI),2501651207,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica,Environmental,Aquatic,Unclassified,Marine,,"Deep sea, Marine",not
Serinicoccus marinus DSM 15273,1.384615385,13,18,0.004409778,1.117709044,3396505,3295,0.394537178,37,2524614805,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614805,Actinobacteria,Other,Actinobacteria,Micrococcales,Intrasporangiaceae,Serinicoccus,Serinicoccus marinus,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",not
Sciscionella marina DSM 45152,1.459459459,37,54,0.012550906,2.785622661,8536451,8212,0.450560156,24,2515154143,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2515154143,Actinobacteria,Other,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Sciscionella,Sciscionella marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",not
SAR116 cluster alpha proteobacterium sp. HIMB100,0.533333333,15,8,0.005088205,0.805971681,2459485,2376,0.631313131,,2503113005,Bacteria,Permanent Draft,SAR116 cluster alpha proteobacterium sp. HIMB100,Pennsylvania State University,2503113005,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified,SAR116 cluster alpha proteobacterium HIMB100,Environmental,Aquatic,Unclassified,Marine,,Marine,not
SAR11 cluster bacterium JGI GoM_375m_188_H08 (contamination screened),0,5,,0.001696068,0.337517602,900268,995,0.502512563,,2706794807,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794807,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_H08,,,,,,,not
SAR11 cluster bacterium JGI GoM_375m_188_E04 (contamination screened),0,3,,0.001017641,0.08039364,202418,237,1.265822785,,2706794856,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794856,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_E04,,,,,,,not
SAR11 cluster bacterium JGI GoM_375m_188_D08 (contamination screened),0,3,,0.001017641,0.288670834,775582,851,0.352526439,,2706794803,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794803,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_D08,,,,,,,not
SAR11 cluster bacterium JGI GoM_375m_188_A02 (contamination screened),0,1,,0.000339214,0.114315007,303716,337,0.296735905,,2706794872,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794872,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_375m_188_A02,,,,,,,not
SAR11 cluster bacterium JGI GoM_1m_182_G01 (contamination screened),0,4,,0.001356855,0.259837672,669643,766,0.522193211,,2706794874,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794874,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_G01,,,,,,,not
SAR11 cluster bacterium JGI GoM_1m_182_D02 (contamination screened),0,7,,0.002374496,0.277815996,733779,819,0.854700855,,2706794868,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794868,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_D02,,,,,,,not
SAR11 cluster bacterium JGI GoM_1m_182_A11 (contamination screened),0,5,,0.001696068,0.377544815,998184,1113,0.449236298,,2706794817,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794817,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1m_182_A11,,,,,,,not
SAR11 cluster bacterium JGI GoM_1470m_185_E04 (contamination screened),0,1,,0.000339214,0.217775176,574963,642,0.15576324,,2706794895,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794895,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI GoM_1470m_185_E04,,,,,,,not
SAR11 cluster bacterium JGI ETNP_60m_184_G07 (contamination screened),0,1,,0.000339214,0.133650186,360759,394,0.253807107,,2706794835,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794835,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_60m_184_G07,,,,,,,not
SAR11 cluster bacterium JGI ETNP_125m_186_G05 (contamination screened),0,2,,0.000678427,0.130936477,337771,386,0.518134715,,2706794815,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794815,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_125m_186_G05,,,,,,,not
SAR11 cluster bacterium JGI ETNP_125m_186_C10 (contamination screened),0,1,,0.000339214,0.094979828,249733,280,0.357142857,,2706794866,Bacteria,Permanent Draft,Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones,DOE Joint Genome Institute (JGI),2706794866,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,unclassified,SAR11 cluster bacterium JGI ETNP_125m_186_C10,,,,,,,not
Saprospiraceae bacterium KD52,0.956521739,69,66,0.023405743,2.095322842,7868778,6177,1.11704711,,2617271238,Bacteria,Permanent Draft,Saprospiraceae bacterium KD52 Genome sequencing,Xiamen university,2617271238,Bacteroidetes,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Phaeodactylibacter xiamenensis,,,,,,,not
Sagittula stellata E-37,1.12962963,54,61,0.018317538,1.737113206,5262893,5121,1.054481547,,640612219,Bacteria,Permanent Draft,Sagittula stellata E-37,J. Craig Venter Institute (JCVI),640612219,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata,Engineered,Lab enrichment,Unclassified,Unclassified,,Marine,not
Roseovarius sp. TM1035,1.212121212,33,40,0.011194051,1.410450442,4209812,4158,0.793650794,,640963035,Bacteria,Permanent Draft,Roseovarius sp. TM1035,J. Craig Venter Institute (JCVI),640963035,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. TM1035,Host-associated,Algae,Unclassified,Unclassified,,Marine,not
